Classifier,Precision (%),Recall (%),F1-Score (%),Accuracy (%),Kappa
EfficientNetB0,88.53669619421713,88.63080684596576,88.51964839200377,88.63080684596576,0.8460426158426912
ResNet50,91.15691045095788,91.13691931540342,91.1091330244842,91.13691931540342,0.8799947590662841
VGG16,91.15691045095788,91.13691931540342,91.1091330244842,91.13691931540342,0.8799947590662841
VGG19,86.86880490261055,87.04156479217605,86.91322253086263,87.04156479217605,0.8241423038173521
MobileNetV2,73.45110045917654,73.53300733496333,70.41472567774562,73.53300733496333,0.6349255022049656
CustomCNN,77.44948261442116,78.0562347188264,77.21970464123451,78.0562347188264,0.7002736364870423
Logistic Regression,91.69334497953568,91.74816625916873,91.70669763433294,91.74816625916873,0.8880383648308865
KNN,91.5138785637324,91.56479217603912,91.43992298551107,91.56479217603912,0.8854278945990219
SVM,96.9376060445553,96.9437652811736,96.93454414917755,96.9437652811736,0.9585605201313298
Random Forest,86.59157478194533,86.36919315403424,86.13290050178456,86.36919315403424,0.8151768299787734
EfficientNetB0_SVM,96.9376060445553,96.9437652811736,96.93454414917757,96.9437652811736,0.9585605201313298
